concept,text,pleasant,attention,sensitivity,aptitude,polarity
toady,toady,-0.821,0,0.612,-0.51,-0.648
toast,toast,0.022,-0.054,0,0,0.025
toaster,toaster,0.868,-0.752,0,0.795,0.805
tobacco_product,tobacco product,0.047,0,-0.102,-0.06,-0.038
tobacco_wilt,tobacco wilt,-0.833,0,0.754,-0.979,-0.855
toccata,toccata,0.62,-0.731,0,0.511,0.621
todd,todd,0,0,-0.064,-0.099,-0.054
toe_nail,toe nail,0,0.952,0,0,0.317
toe_the_line,toe the line,0.731,-0.592,0,0.634,0.652
tofu,tofu,0,-0.031,0.046,-0.088,-0.034
together,together,0.211,0.103,-0.082,0.256,0.163
togetherness,togetherness,0.676,0.695,-0.264,0.402,0.503
toil,toil,-0.228,0.182,-0.279,0.162,-0.054
toilet_brush,toilet brush,0,-0.039,0,-0.179,-0.047
toilet_paper,toilet paper,0.056,-0.03,0.056,-0.112,-0.027
toilet_seat,toilet seat,0,-0.061,0.038,-0.097,-0.025
toilet_tank,toilet tank,0,-0.064,0.034,-0.125,-0.032
token,token,0.02,0.079,0,0.069,0.056
token_slot,token slot,0.035,0.078,0.025,0,0.029
token_turnstile,token turnstile,0.096,-0.017,0,0,0.038
tolerable,tolerable,0.525,-0.799,0,0.593,0.639
tolerant,tolerant,0.031,0.146,-0.141,0.191,0.076
tolerate,tolerate,-0.907,0,0.729,-0.802,-0.813
toll,toll,-0.285,0,-0.238,-0.126,-0.216
toll_highway,toll highway,0,0,0.024,-0.051,-0.025
toll_road,toll road,0.579,-0.891,0,0.878,0.783
tomb,tomb,-0.058,0.103,-0.095,-0.054,-0.035
tomboy,tomboy,0.619,-0.568,0,0.523,0.57
tomfool,tomfool,0.512,-0.926,0,0.688,0.709
ton,ton,-0.03,0.079,0.024,0.091,0.039
tone,tone,0,0,0.03,0.108,0.026
tone_of_voice,tone of voice,-0.943,0,0.65,-0.578,-0.724
too_bad,too bad,-0.905,0,0.827,-0.941,-0.891
tool_belt,tool belt,0,-0.025,0.01,-0.089,-0.025
tool_box,tool box,0.053,-0.067,0,0,0.04
tool_shed,tool shed,0,-0.02,0,-0.088,-0.023
tool_war,tool war,-0.08,-0.027,0,-0.152,-0.068
tooth,tooth,-0.03,0.079,0.024,0.091,0.039
tooth_brush,tooth brush,0.043,-0.05,0.043,0.204,0.085
tooth_decay,tooth decay,0,0,0.813,-0.951,-0.588
tooth_hurt,tooth hurt,0.038,-0.04,-0.066,-0.121,-0.036
tooth_pain,tooth pain,-0.92,0,0.794,-0.935,-0.883
tooth_socket,tooth socket,0.681,-0.632,0,0.647,0.653
toothache,toothache,0,0,0.819,-0.984,-0.601
toothbrush,toothbrush,0.036,0.129,0,0.06,0.075
toothbrush_bristle,toothbrush bristle,0,-0.067,0.026,-0.119,-0.026
toothbrush_head,toothbrush head,0,-0.086,0.032,-0.142,-0.029
toothed,toothed,0.845,-0.716,0,0.775,0.779
toothpaste,toothpaste,0.036,0.129,0,0.06,0.075
top,top,0.045,0,0,0.125,0.057
top_class,top class,0.791,0.934,0,0.85,0.858
top_dog,top dog,0.163,0.121,0,0.131,0.138
top_face,top face,0,0.076,0,0.052,0.043
top_fermentation,top fermentation,0.833,-0.507,0,0.519,0.62
top_floor,top floor,0.064,0.07,0,0,0.045
top_head,top head,0.049,0.089,0,0.102,0.08
top_model,top model,0.996,0,0,0,0.332
top_notch,top notch,0.791,0.934,0,0.85,0.858
top_tree,top tree,0.071,0,0.031,0.064,0.035
toper_nose,toper nose,0.749,-0.632,0,0.884,0.755
topical_anaesthetic,topical anaesthetic,0.768,-0.501,0,0.553,0.607
topical_anesthetic,topical anesthetic,0.768,-0.501,0,0.553,0.607
topple,topple,-0.536,0,0.752,-0.898,-0.729
torah,torah,0.071,0.171,0,0.154,0.132
torment,torment,-0.172,0.07,0.675,-0.673,-0.483
torn,torn,-0.066,-0.018,0.05,-0.071,-0.056
tornado,tornado,0,-0.016,-0.082,-0.136,-0.067
torpidity,torpidity,-0.975,0,0.992,-0.866,-0.944
torpor,torpor,-0.793,0,0.837,-0.82,-0.817
torture,torture,0,0,-0.792,-0.903,-0.565
torture_and_interrogate,torture and interrogate,-0.973,0,0.676,-0.963,-0.871
toss_ball,toss ball,0.885,0,0,0,0.295
toss_turn,toss turn,-0.022,0,0,-0.048,-0.023
total,total,0,0.26,0.019,0.204,0.148
total_amount,total amount,-0.045,0.268,0,0.159,0.127
total_number,total number,0.027,0.158,0.082,0.182,0.095
totality,totality,0.044,0.256,-0.093,0.274,0.16
tote,tote,0.048,0.169,-0.145,0.403,0.158
tote_bag,tote bag,0,-0.026,0.027,-0.092,-0.031
touch,touch,0.034,0.172,-0.231,0.246,0.074
touch_a_chord,touch a chord,0.636,-0.92,0,0.683,0.746
touch_ball,touch ball,-0.768,0,0.85,-0.778,-0.799
touch_fire,touch fire,0,0,-0.849,-0.732,-0.527
touch_ground,touch ground,0,-0.024,0.074,-0.098,-0.049
touch_heart,touch heart,0.829,0,0,0.729,0.519
touch_other,touch other,0.308,0.067,0.053,0.161,0.161
touch_perception,touch perception,-0.739,0,0.594,-0.547,-0.627
touch_toe,touch toe,-0.034,0,0,0.13,0.032
touchy,touchy,-0.914,0,-0.728,-0.99,-0.877
tough,tough,-0.758,0,0.823,-0.528,-0.703
tough_luck,tough luck,-0.618,0,0.961,-0.827,-0.802
toughened,toughened,0.641,-0.577,0,0.707,0.642
toughie,toughie,-0.765,0,0.527,-0.826,-0.706
tourer,tourer,-0.569,0,0.811,-0.769,-0.716
tourism,tourism,-0.118,0.119,-0.238,0,-0.079
tourist,tourist,-0.871,0,0.938,-0.575,-0.795
tourist_attraction,tourist attraction,0.034,0.13,-0.083,0.258,0.113
tourist_site,tourist site,-0.11,0.113,-0.234,0,-0.077
tourniquet,tourniquet,-0.036,0,-0.12,-0.217,-0.124
tow,tow,0,0.21,-0.113,0.345,0.147
tow_truck,tow truck,0,0,0,0.069,0.023
toward,toward,0,0.21,-0.113,0.345,0.147
towel,towel,0.024,0.157,0.018,0.145,0.103
towel_bar,towel bar,0,-0.029,0.041,-0.102,-0.038
towel_off,towel off,0,0.078,0,0.065,0.048
tower,tower,0.024,0.157,0.018,0.145,0.103
tower_cress,tower cress,0.598,-0.721,0,0.941,0.753
tower_mustard,tower mustard,0.598,-0.721,0,0.941,0.753
town_center,town center,-0.033,0.099,0.017,0.102,0.05
town_hall,town hall,0.025,0.136,0,0,0.054
toxaemia,toxaemia,-0.666,0,0.815,-0.82,-0.767
toxaemia_of_pregnancy,toxaemia of pregnancy,-0.597,0,0.758,-0.554,-0.636
toxemia,toxemia,-0.799,0,0.791,-0.789,-0.793
toxemia_of_pregnancy,toxemia of pregnancy,-0.793,0,0.644,-0.943,-0.793
toxic,toxic,-0.188,0,-0.141,0,-0.11
toxic_condition,toxic condition,-0.74,0,0.981,-0.603,-0.775
toxic_dumpsite,toxic dumpsite,0.835,-0.854,0,0.99,0.893
toxic_metal,toxic metal,0.046,-0.15,0.016,0.167,0.116
toxic_waste,toxic waste,-0.058,-0.049,0.01,-0.113,-0.044
toxic_waste_dump,toxic waste dump,0.744,-0.963,0,0.864,0.857
toxic_waste_site,toxic waste site,0.889,-0.518,0,0.757,0.721
toy,toy,0,-0.105,0,0,0.035
toy_ball,toy ball,0,-0.149,0.046,0,0.034
toy_balloon,toy balloon,0.031,-0.2,0,-0.061,0.057
toy_box,toy box,-0.028,-0.054,0.032,-0.111,-0.039
toy_car,toy car,0,-0.134,0.02,0,0.038
toy_marble,toy marble,0,-0.13,0.043,0,0.029
toy_soldier,toy soldier,0,-0.143,0,-0.032,0.037
toy_store,toy store,0,0.306,-0.053,0.287,0.18
toying,toying,0.663,-0.605,0,0.862,0.71
trace,trace,-0.042,0.114,0,0.086,0.053
track,track,-0.042,0.114,0,0.086,0.053
tractability,tractability,0.637,-0.911,0,0.757,0.768
tractable,tractable,0.604,-0.612,0,0.536,0.584
tractableness,tractableness,0.518,-0.924,0,0.527,0.656
trade,trade,-0.047,0.278,-0.085,0.202,0.116
trade_baseball_card,trade baseball card,-0.183,0,-0.082,-0.05,-0.105
trade_card,trade card,-0.047,0.278,-0.085,0.202,0.116
trade_protection,trade protection,-0.706,0,0.552,-0.681,-0.646
trade_stock,trade stock,0.022,0.08,0,0.076,0.059
tradesman,tradesman,0.022,0.08,0,0.076,0.059
tradition,tradition,0.069,0.116,-0.167,0.179,0.066
traditional_knowledge,traditional knowledge,0.634,-0.97,0,0.523,0.709
traducement,traducement,-0.612,0,0.749,-0.546,-0.636
traffic_accident,traffic accident,-0.085,-0.059,0,-0.083,-0.036
traffic_artery,traffic artery,0.04,0.07,0,0,0.037
traffic_congestion,traffic congestion,-0.188,-0.2,0.028,-0.19,-0.069
traffic_control,traffic control,0.032,-0.009,0,0.09,0.044
traffic_cop,traffic cop,0,0.066,-0.058,0.095,0.034
traffic_jam,traffic jam,-0.157,-0.136,0,-0.255,-0.092
traffic_light,traffic light,-0.031,-0.048,0.021,-0.115,-0.04
traffic_lights,traffic lights,0.722,0.865,0,0.748,0.778
traffic_police,traffic police,0,0.769,0,0,0.256
traffic_rule,traffic rule,0.038,0,0.01,0.059,0.029
traffic_sign,traffic sign,0,0.119,0,0.123,0.081
traffic_signal,traffic signal,0.06,0,0,0.059,0.04
tragedy,tragedy,-0.232,-0.049,-0.183,-0.039,-0.135
trail,trail,0,0,0,0.069,0.023
trail_car,trail car,0,0,0,0.069,0.023
trailer,trailer,0,0,0,0.069,0.023
train_daily,train daily,0,0,-0.047,0.13,0.028
train_depot,train depot,0,0.106,0,0,0.035
train_dog,train dog,0.069,0.14,-0.064,0.108,0.084
train_hard,train hard,0.028,-0.009,0.05,0.092,0.026
train_marathon,train marathon,-0.857,0,-0.719,-0.865,-0.814
train_muscle,train muscle,0,0,-0.047,0.13,0.028
train_open_mind,train open mind,0,0.951,0,0,0.317
train_pet,train pet,0.069,0.14,-0.064,0.108,0.084
train_seat,train seat,0,-0.058,0.03,-0.109,-0.027
train_station,train station,0,0.147,0,0.099,0.082
train_ticket,train ticket,0,0.093,0,0,0.031
train_track,train track,0.069,0.14,-0.064,0.108,0.084
train_window,train window,0,0,0,0.087,0.029
trainer,trainer,0.069,0.14,-0.064,0.108,0.084
training,training,0.908,-0.837,0,0.822,0.856
training_body,training body,0.877,0.832,0,0.791,0.833
trait,trait,0,0.163,-0.165,0.281,0.093
traitor,traitor,0,0,0.85,-0.88,-0.577
tram,tram,0,0.163,-0.165,0.281,0.093
tramp,tramp,-0.647,0,0.712,-0.785,-0.715
trance,trance,0.636,0.631,-0.28,0.36,0.449
tranquil,tranquil,0.549,0.656,-0.249,0.264,0.407
tranquility,tranquility,0.634,0.649,-0.248,0.3,0.445
tranquilize,tranquilize,0.506,0.659,-0.246,0.242,0.387
tranquilizer,tranquilizer,-0.866,0,0.646,-0.888,-0.8
tranquillize,tranquillize,0.962,-0.739,0,0.995,0.899
tranquillizer,tranquillizer,-0.874,0,0.975,-0.768,-0.872
tranquilly,tranquilly,0.579,0.652,-0.249,0.276,0.419
transact_business,transact business,0.84,0.813,0,0.915,0.856
transaction,transaction,-0.059,0.265,-0.067,0.233,0.124
transfer,transfer,-0.1,0.273,-0.098,0.219,0.098
transfer_information,transfer information,0.574,0.561,0,0.795,0.643
transfer_knowledge,transfer knowledge,-0.1,0.273,-0.098,0.219,0.098
transformation,transformation,0.556,-0.923,0,0.762,0.747
transformer,transformer,0.036,-0.117,-0.049,0,0.035
transfuse,transfuse,0.79,-0.62,0,0.674,0.695
transit,transit,0.04,0.144,-0.074,0.122,0.077
transit_card,transit card,0.04,0.144,-0.074,0.122,0.077
transit_ticket,transit ticket,0,0.093,0,0,0.031
transition,transition,0,0.202,-0.067,0.291,0.142
translation,translation,0,0.202,-0.067,0.291,0.142
translucent,translucent,0,0.075,0,0.119,0.065
transmit_disease,transmit disease,-0.076,0,-0.171,-0.095,-0.114
transmit_information,transmit information,0.504,0.617,0,0.753,0.625
transmit_signal,transmit signal,-0.099,0.102,-0.138,0,-0.045
transparency,transparency,-0.026,0.095,0.009,0.107,0.056
transparent,transparent,-0.031,0.066,0,0.08,0.038
transparentness,transparentness,0.617,-0.848,0,0.868,0.778
transport,transport,0.045,0.075,-0.053,0.19,0.086
transport_card,transport card,0.04,0.144,-0.074,0.122,0.077
transport_food,transport food,0.823,0,0,0,0.274
transport_goods,transport goods,-0.036,0.111,-0.061,0.084,0.033
transport_person,transport person,0.028,0,0,0.099,0.042
transportation,transportation,0.02,-0.007,0,0.096,0.041
transportation_device,transportation device,-0.029,0.075,0,0.059,0.035
transportation_vehicle,transportation vehicle,0,-0.019,0,0.058,0.026
trap_mouse,trap mouse,0.059,0,0,0.049,0.036
trapezoid,trapezoid,0.034,0,0.086,0.12,0.023
trash,trash,0,-0.06,0,-0.129,-0.023
trash_bag,trash bag,0.291,0.17,-0.146,0.08,0.132
trash_bin,trash bin,0,0,0,-0.117,-0.039
trash_can,trash can,0.036,-0.042,0.025,-0.122,-0.023
trash_container,trash container,0.036,-0.042,0.025,-0.122,-0.023
trash_dump,trash dump,-0.707,0,0.611,-0.695,-0.671
trash_heap,trash heap,-0.918,0,0.615,-0.569,-0.701
trash_pile,trash pile,-0.52,0,0.978,-0.558,-0.685
trash_receptacle,trash receptacle,0.036,-0.042,0.025,-0.122,-0.023
trauma,trauma,-0.886,0,-0.795,-0.857,-0.846
travel,travel,0,0,0,0.097,0.032
travel_abroad,travel abroad,0.838,0.936,0,0,0.591
travel_across_world,travel across world,0.034,0.104,0,-0.041,0.032
travel_by_airplane,travel by airplane,0.729,0.974,0,0,0.568
travel_car,travel car,0,-0.009,0,0.081,0.03
travel_card,travel card,0.04,0.144,-0.074,0.122,0.077
travel_comfortable,travel comfortable,0.901,0,0,0,0.3
travel_fast,travel fast,0.729,0.974,0,0,0.568
travel_fast_light,travel fast light,0,0,0,0.717,0.239
travel_kit,travel kit,0,-0.08,0.056,-0.119,-0.032
travel_long_distance,travel long distance,0.051,-0.034,0.012,0.049,0.041
travel_map,travel map,0.946,0,0,0.77,0.572
travel_moon,travel moon,0.754,0.903,0,0,0.552
travel_over_water,travel over water,0,0.091,0,0.141,0.077
travel_place,travel place,0,0,0,0.077,0.026
travel_quick,travel quick,0.946,0,0,0.77,0.572
travel_quickly,travel quickly,-0.041,0,-0.047,0,-0.029
travel_road,travel road,-0.105,0,-0.098,0.067,-0.045
travel_space,travel space,-0.108,0.104,-0.082,0,-0.029
travel_through_space,travel through space,-0.062,0,-0.072,-0.035,-0.056
travel_to_another_place,travel to another place,0.924,0.992,0,0,0.639
travel_work,travel work,-0.072,-0.026,0,-0.077,-0.041
travel_world,travel world,0.946,0,0,0.77,0.572
traveling_destination,traveling destination,0.924,0.992,0,0,0.639
traveling_long_distance,traveling long distance,0.054,-0.046,0.01,0.059,0.05
traveling_person,traveling person,0.069,0.07,0,0.116,0.085
traveling_water,traveling water,0.123,-0.046,0.049,-0.038,0.027
traveller,traveller,0.069,0.07,0,0.116,0.085
treachery,treachery,-0.28,-0.023,-0.142,-0.293,-0.231
treadmill,treadmill,0.094,0,0,0,0.031
treasure,treasure,0.914,0.732,0,0,0.549
treasure_chest,treasure chest,0,0.177,0,0.126,0.101
treasurer,treasurer,0.03,0.222,0,0,0.084
treat,treat,0.079,-0.044,-0.09,0.102,0.045
treat_illness,treat illness,0,0.068,-0.126,-0.103,-0.054
treatable,treatable,-0.589,0.11,-0.505,0,-0.328
treated,treated,-0.739,0,0.641,-0.748,-0.709
treatment,treatment,-0.057,0,-0.226,-0.065,-0.116
treaty,treaty,0.133,0.266,-0.129,0.163,0.144
tree,tree,0.856,0,0,0,0.285
tree_animal,tree animal,-0.12,-0.056,-0.05,-0.194,-0.103
tree_arm,tree arm,0.027,-0.057,0.055,0.058,0.029
tree_branch,tree branch,0.042,-0.134,0.029,0,0.049
tree_cover,tree cover,0.02,0,0.009,0.132,0.048
tree_flower,tree flower,0,0.071,0,0,0.024
tree_fruit,tree fruit,0.058,0,0.041,0.086,0.034
tree_house,tree house,0,0.095,0,0.127,0.074
tree_item,tree item,0.856,0,0,0,0.285
tree_limb,tree limb,0.025,-0.048,0.058,0.057,0.024
tree_make,tree make,0,0,0,0.089,0.03
tree_part,tree part,0.134,-0.112,0.066,0.054,0.078
tree_piece,tree piece,0.025,-0.037,0.057,0.071,0.025
tree_product,tree product,0,0,0,0.073,0.024
tree_trunk,tree trunk,-0.189,-0.121,0.049,-0.247,-0.121
tree_type,tree type,0,0,0.029,-0.043,-0.024
tree_wood,tree wood,0,-0.026,0.085,-0.094,-0.051
trefoil_arch,trefoil arch,0.641,-0.569,0,0.748,0.653
trematode,trematode,0.688,-0.942,0,0.925,0.852
trematode_worm,trematode worm,0.938,-0.601,0,0.691,0.743
tremble,tremble,-0.879,0,0.882,-0.564,-0.775
tremendous,tremendous,0.046,-0.66,0,0.365,0.357
tremolo,tremolo,0.748,-0.907,0,0.99,0.882
tremor,tremor,0.062,0,-0.075,0.165,0.051
trench_fever,trench fever,-0.738,0,0.599,-0.96,-0.766
trench_foot,trench foot,-0.503,0,0.737,-0.741,-0.66
trend,trend,0.05,0.151,0,0.159,0.12
trendy,trendy,0.039,-0.022,0.032,0.059,0.029
trepidation,trepidation,-0.485,0.387,-0.232,-0.146,-0.159
trespass,trespass,-0.961,0,0.589,-0.572,-0.707
trespass_de_bonis_asportatis,trespass de bonis asportatis,-0.961,0,0.589,-0.572,-0.707
trespass_on_the_case,trespass on the case,-0.961,0,0.589,-0.572,-0.707
trespass_quare_clausum_fregit,trespass quare clausum fregit,-0.961,0,0.589,-0.572,-0.707
trespass_viet_armis,trespass viet armis,-0.961,0,0.589,-0.572,-0.707
trial,trial,0,0.126,0,0.084,0.07
trial_run,trial run,0.736,-0.808,0,0.69,0.745
triangle,triangle,0.763,-0.612,0,0.777,0.717
tribe,tribe,0.053,0.092,-0.061,0,0.028
tribute,tribute,0,0,0,0.78,0.26
trick,trick,0,0,0.746,-0.984,-0.577
trick_someone,trick someone,-0.96,0,0.65,-0.929,-0.846
tricky,tricky,-0.384,0.165,-0.32,0.243,-0.099
tried_and_true,tried and true,0.947,-0.793,0,0.7,0.813
trigeminal_neuralgia,trigeminal neuralgia,-0.547,0,0.543,-0.63,-0.573
trim,trim,-0.069,0,0.034,-0.071,-0.058
trim_back,trim back,0.887,-0.737,0,0.603,0.742
trim_down,trim down,0.964,-0.709,0,0.62,0.764
trim_hair,trim hair,-0.062,-0.033,0.044,-0.084,-0.052
trip_acid,trip acid,-0.034,-0.082,-0.154,-0.163,-0.09
trip_fall,trip fall,0,-0.959,0.736,0,0.074
trip_fall_down,trip fall down,-0.119,-0.025,0,0,-0.031
trip_over,trip over,-0.112,0,0.012,-0.099,-0.074
trip_person,trip person,-0.064,0.111,-0.133,-0.029,-0.038
trip_up,trip up,-0.988,0,0.618,-0.507,-0.704
tripod_dolly,tripod dolly,0.128,-0.111,0,-0.057,0.061
tripped_over,tripped over,-0.914,0,-0.728,-0.99,-0.877
triquetral_bone,triquetral bone,-0.744,0,0.598,-0.756,-0.699
triumph,triumph,0.721,0.805,0,0.738,0.755
triumphal,triumphal,0.732,0.614,-0.224,0.329,0.484
triumphant,triumphant,0.732,0.614,-0.224,0.329,0.484
triumphantly,triumphantly,0.724,0.617,-0.228,0.331,0.481
trivia,trivia,0.098,0.165,-0.134,0.284,0.138
trojan_horse,trojan horse,-0.867,0,0.769,-0.888,-0.841
trolley,trolley,0.038,0.155,0,0.074,0.089
troop,troop,0,0,-0.064,-0.129,-0.064
trophy,trophy,0.041,0.116,-0.057,0.089,0.063
tropical_cyclone,tropical cyclone,-0.961,0,0.014,-0.956,-0.644
tropical_fish,tropical fish,-0.899,0,0,-0.985,-0.628
tropical_forest,tropical forest,0,0.762,0,0,0.254
tropical_rainforest,tropical rainforest,0,0.762,0,0,0.254
tropical_storm,tropical storm,-0.028,0,0,-0.081,-0.036
trot_out,trot out,0.58,-0.821,0,0.77,0.724
trouble,trouble,-0.378,0.184,-0.346,-0.067,-0.202
trouble_breathe,trouble breathe,0,0,-0.748,-0.871,-0.54
trouble_maker,trouble maker,-0.849,0,0.506,-0.628,-0.661
troubled,troubled,-0.723,0,0.671,-0.635,-0.676
troublemaker,troublemaker,-0.983,0,0.693,-0.768,-0.815
troubler,troubler,-0.523,0,0.701,-0.503,-0.576
troubleshoot,troubleshoot,-0.886,0,0.688,-0.936,-0.837
troublesomeness,troublesomeness,-0.647,0,0.625,-0.882,-0.718
troubling,troubling,-0.482,0.41,-0.196,-0.187,-0.152
trounce,trounce,0.946,-0.638,0,0.889,0.824
trousers,trousers,0,-0.052,0.092,-0.072,-0.037
truce,truce,0.268,0.199,-0.123,0,0.115
truck,truck,0.903,-0.893,0,0.919,0.905
truck_driver,truck driver,0.054,0.164,-0.107,0,0.037
truck_stop,truck stop,0,0,0,-0.077,-0.026
trucking,trucking,0,0.082,-0.057,0.201,0.075
true,true,0.117,0.266,0,0.215,0.199
true_bacteria,true bacteria,0.734,-0.817,0,0.535,0.695
true_believer,true believer,0,0.211,-0.088,0.183,0.102
true_bill,true bill,0.654,-0.592,0,0.774,0.673
true_blackberry,true blackberry,-0.922,0,0.912,-0.942,-0.925
true_love,true love,0.801,0,0,0.912,0.571
truffle_dog,truffle dog,0.059,0.073,0,0,0.044
truism,truism,0.524,-0.641,0,0.675,0.613
trunk_hose,trunk hose,-0.589,0,0.757,-0.679,-0.675
trust,trust,0,0,0,0.6,0.2
trust_friend,trust friend,-0.113,0.076,-0.075,0,-0.037
trust_god,trust god,0.782,0,0,0.752,0.511
trustworthy,trustworthy,0,0.252,-0.15,0,0.034
truth,truth,0.768,0.935,0,0.996,0.9
truthful,truthful,0.76,0.998,0,0.75,0.836
truthfulness,truthfulness,0.76,-0.593,0,0.713,0.689
try,try,-0.107,0.171,-0.1,0.17,0.045
try_again,try again,-0.122,0,-0.074,0,-0.065
try_best,try best,-0.078,-0.006,0,-0.052,-0.041
try_calm_down,try calm down,-0.077,0,0.073,-0.262,-0.137
try_case,try case,0,0.133,0,0.086,0.073
try_clothes,try clothes,0,-0.043,0.022,-0.126,-0.035
try_clothes_before_buy,try clothes before buy,0.151,0,0,0.055,0.069
try_forget,try forget,0.993,0,0,0,0.331
try_hard,try hard,-0.102,0,0.02,0,-0.041
try_new,try new,0,0.069,0,0.108,0.059
try_new_clothes,try new clothes,0,-0.049,0.047,-0.071,-0.023
try_on,try on,0.745,-0.713,0,0.709,0.722
try_out,try out,0.777,-0.889,0,0.79,0.819
try_to_find,try to find,0.43,0.657,-0.285,0.244,0.349
try_understand,try understand,0,-0.047,-0.087,0.11,0.023
try_win,try win,0,0.95,0,0,0.317
try_win_game,try win game,0.807,0,0,0,0.269
trying_luck,trying luck,-0.081,0.179,-0.06,0.096,0.045
tryout,tryout,0.615,-0.511,0,0.573,0.566
tsatske,tsatske,-0.777,0,0.737,-0.563,-0.692
tshatshke,tshatshke,-0.928,0,0.994,-0.642,-0.855
tsunami,tsunami,-0.077,0,0.073,-0.262,-0.137
tubal_pregnancy,tubal pregnancy,-0.981,0,0.862,-0.692,-0.845
tube,tube,0.05,-0.085,0,-0.038,0.032
tubercle_bacillus,tubercle bacillus,-0.908,0,0.908,-0.538,-0.785
tuberculosis,tuberculosis,-0.085,-0.043,0,-0.128,-0.057
tubular_cavity,tubular cavity,0.718,-0.882,0,0.83,0.81
tucker_out,tucker out,0.828,-0.968,0,0.555,0.784
tufted_centaury,tufted centaury,-0.902,0,0.726,-0.534,-0.721
tug,tug,0,0.179,-0.099,0.279,0.12
tuition,tuition,-0.077,0,0.073,-0.262,-0.137
tulip,tulip,0,0.067,0,0.05,0.039
tulle,tulle,0.735,-0.549,0,0.897,0.727
tumble,tumble,-0.502,0,0.73,-0.686,-0.639
tumesce,tumesce,-0.63,0,0.737,-0.752,-0.706
tummy_tuck,tummy tuck,0.738,-0.78,0,0.757,0.758
tumult,tumult,-0.848,-0.741,-0.948,0,-0.352
tumultuousness,tumultuousness,-0.836,0,0.703,-0.854,-0.798
tune,tune,0.802,0,0,0,0.267
tune_instrument,tune instrument,-0.045,0,0.058,-0.055,-0.053
tune_up,tune up,0.71,-0.577,0,0.721,0.669
tuner,tuner,0.036,-0.04,0.027,0.063,0.037
tunnel,tunnel,-0.045,0,0,-0.047,-0.031
tupperware,tupperware,0.348,0.23,-0.153,0.294,0.24
turban_squash,turban squash,-0.562,0,0.696,-0.964,-0.741
turbine,turbine,-0.976,0,0.658,-0.606,-0.747
turd,turd,-0.827,0,0.89,-0.764,-0.827
turf_out,turf out,-0.711,0,0.954,-0.563,-0.743
turkey_oak,turkey oak,0.672,-0.696,0,0.831,0.733
turmoil,turmoil,0,0,0.846,-0.956,-0.601
turn,turn,0.061,0,0,0.174,0.078
turn_a_blind_eye,turn a blind eye,-0.58,0,0.657,-0.94,-0.726
turn_a_profit,turn a profit,0.96,-0.786,0,0.583,0.776
turn_aircon_on,turn aircon on,0.681,-0.572,0,0.632,0.628
turn_around,turn around,0,0,0,0.078,0.026
turn_away,turn away,-0.118,0.109,-0.117,0,-0.042
turn_back,turn back,-0.9,0,0.837,-0.809,-0.849
turn_calculator,turn calculator,-0.048,0.146,0.063,0.126,0.054
turn_car,turn car,0,0,0,0.177,0.059
turn_car_off,turn car off,-0.123,0,0,-0.049,-0.057
turn_channel,turn channel,-0.085,-0.019,0,-0.191,-0.086
turn_computer_on,turn computer on,0,0.85,0,0.847,0.566
turn_down,turn down,-0.926,0,0,-0.956,-0.627
turn_engine,turn engine,0,0.098,0,0.107,0.068
turn_exam,turn exam,0.045,0.081,-0.066,0.122,0.061
turn_faucet,turn faucet,0,0.095,0,0.074,0.056
turn_head_cough,turn head cough,-0.104,0,-0.138,-0.136,-0.126
turn_heat,turn heat,-0.064,0.069,-0.056,-0.048,-0.033
turn_heating_on,turn heating on,0.681,-0.572,0,0.632,0.628
turn_ignition,turn ignition,0,0,0,0.082,0.027
turn_key,turn key,-0.092,0,0,0,-0.031
turn_knob,turn knob,-0.054,0.081,0,0.12,0.049
turn_leave,turn leave,-0.084,0.092,-0.073,0.15,0.028
turn_light,turn light,-0.118,-0.003,0,-0.096,-0.07
turn_music,turn music,0.027,-0.006,0.101,0,-0.023
turn_off,turn off,-0.049,-0.028,0.021,-0.17,-0.071
turn_off_alarm,turn off alarm,-0.024,0.093,-0.068,0.079,0.027
turn_off_alarm_clock,turn off alarm clock,-0.057,-0.043,0.054,-0.077,-0.048
turn_off_computer,turn off computer,-0.026,-0.025,0.069,-0.086,-0.052
turn_off_engine,turn off engine,-0.107,-0.025,0.013,-0.156,-0.084
turn_off_light,turn off light,-0.027,-0.012,0.019,-0.064,-0.033
turn_off_television,turn off television,-0.036,-0.072,0.016,-0.229,-0.07
turn_off_tv,turn off tv,-0.094,0,0,-0.068,-0.054
turn_on,turn on,-0.939,0,0.595,-0.835,-0.79
turn_on_air_conditioner,turn on air conditioner,0.899,0.726,0,0,0.542
turn_on_dvd_player,turn on dvd player,-0.086,-0.061,0.043,-0.185,-0.084
turn_on_fan,turn on fan,0.899,0.726,0,0,0.542
turn_on_radio,turn on radio,0,0.073,-0.101,0.098,0.023
turn_on_torch,turn on torch,0.937,0,0,0.828,0.588
turn_on_tv,turn on tv,0.837,0,0,0,0.279
turn_out_light,turn out light,-0.983,0,0,0,-0.328
turn_page,turn page,-0.106,-0.052,0.038,-0.242,-0.111
turn_radio,turn radio,0.037,-0.134,0.059,0,0.037
turn_screw,turn screw,-0.083,-0.06,0.024,-0.177,-0.075
turn_steer_wheel,turn steer wheel,-0.073,-0.034,0.01,-0.134,-0.061
turn_stereo,turn stereo,0,0,0,-0.072,-0.024
